Name,Age,Nationality,Overall,Potential,Club
R. Costería,33,Chile,62,62,Curicó Unido
M. Matsuhashi,32,Japan,62,62,Ventforet Kofu
A. Abbas,32,Saudi Arabia,62,62,Al Faisaly
P. Kpozo,19,Ghana,62,72,Östersunds FK
J. Lelieveld,19,Netherlands,62,75,Vitesse
H. Mita,26,Japan,62,63,Vegalta Sendai
H. Bilal,19,Turkey,62,74,Kasimpaşa SK
D. Dudka,33,Poland,62,62,Lech Poznań
M. Paye,23,France,62,67,ES Troyes AC
J. Al Dawsari,30,Saudi Arabia,62,62,Al Shabab
L. Verstraete,18,Belgium,62,77,KAA Gent
Z. Labidi,22,France,62,72,Stade Brestois 29
G. Piovi,22,Argentina,62,71,Argentinos Juniors
F. Franke,28,Germany,62,62,Hallescher FC
Y. Hashizume,26,Japan,62,62,Ventforet Kofu
A. Robledo,19,Argentina,62,72,Chacarita Juniors
N. Lemus,28,Colombia,62,62,Envigado FC
R. Quiñones,22,Colombia,62,73,Atletico Nacional Medellin
N. Sugai,32,Japan,62,62,Vegalta Sendai
S. Anchoverri,26,Argentina,62,65,Bahía Blanca
A. Sissako,19,France,62,78,AJ Auxerre
R. Hill,19,England,62,75,Stoke City
A. Mayorga,20,Mexico,62,77,Guadalajara
J. Sánchez,26,Argentina,62,64,Atlético Bucaramanga
A. Łukasiewicz,34,Poland,62,62,Arka Gdynia
J. Blåbjerg,22,Denmark,62,68,Aalborg BK
B. Fuller,32,England,62,62,AFC Wimbledon
F. Al Shammari,36,Saudi Arabia,62,62,Al Fayha
S. Skytte,20,Denmark,62,78,Silkeborg IF
J. Day,26,England,62,65,Newport County
R. Koike,21,Japan,62,67,Kashiwa Reysol
C. Ngu'Ewodo,21,Germany,62,70,Hansa Rostock
Kim Sung Ju,26,Korea Republic,62,63,Sangju Sangmu FC
O. Wijndal,17,Netherlands,62,78,AZ Alkmaar
Carlinhos,22,Brazil,62,66,FC Lugano
J. Labadie,26,England,62,63,Newport County
A. Carleton,17,United States,62,79,Atlanta United FC
P. Asmah,21,Ghana,62,71,Salernitana
Bastos,25,Spain,62,67,C.D. Leonesa S.A.D.
A. Majrashi,25,Saudi Arabia,62,63,Al Fateh
João Novais,23,Portugal,62,67,Rio Ave FC
K. Kallaste,28,Estonia,62,62,Korona Kielce
S. Vuk,27,Slovenia,62,62,Tromsø IL
M. Coppolaro,20,Italy,62,72,Brescia
Queijeiro,24,Spain,62,69,RC Deportivo de La Coruña
K. Al Zealaiy,30,Saudi Arabia,62,62,Al Raed
C. Pain,23,Australia,62,70,Central Coast Mariners
M. Crépeau,23,Canada,62,70,Montreal Impact
S. Hendrie,22,Scotland,62,66,Southend United
F. Valenčič,25,Slovenia,62,67,HJK Helsinki
M. Mehlem,22,Germany,62,68,Karlsruher SC
N. Cozza,18,France,62,78,Montpellier Hérault SC
A. Kawamoto,27,Japan,62,62,Ventforet Kofu
I. Sacko,19,France,62,76,RC Strasbourg
Jesús González,23,Spain,62,68,Real Zaragoza
K. van der Weg,26,Netherlands,62,65,Ross County FC
Kiki,22,Portugal,62,73,CD Feirense
D. Sirella,29,Chile,62,62,CD Palestino
F. Garcia,22,France,62,72,Nîmes Olympique
Kim Hyeon Wook,22,Korea Republic,62,71,Jeju United FC
M. Dembélé,20,France,62,77,AS Nancy Lorraine
N. Ngcobo,17,South Africa,62,80,Kaizer Chiefs
R. Connolly,25,Republic of Ireland,62,67,Shamrock Rovers
M. Konradsen,21,Norway,62,70,Rosenborg BK
Y. Ota,34,Japan,62,62,Júbilo Iwata
Eliseo Falcón,20,Spain,62,75,Granada CF
J. McGlashan,29,England,62,62,Southend United
J. Flannigan,21,England,62,74,Southampton
T. Soares,30,England,62,62,AFC Wimbledon
R. Pereira de Sa,20,France,62,72,FC Nantes
N. Schiappacasse,18,Uruguay,62,78,Atlético Madrid
M. Hebo Rasmussen,21,Denmark,62,73,Lyngby BK
N. Delgadillo,19,Argentina,62,78,Vélez Sarsfield
D. Faupala,20,France,62,74,Manchester City
G. Perrulli,32,Italy,62,62,Cremonese
J. Lopez,25,France,62,66,Paris FC
K. Yamakoshi,24,Japan,62,66,Omiya Ardija
F. Neuhold,23,Austria,62,68,Rot-Weiß Erfurt
Rúben Oliveira,22,Portugal,62,71,Vitória Guimarães
J. Suescún,26,Colombia,62,65,Águilas Doradas
P. Breitkreuz,25,Germany,62,66,SV Wehen Wiesbaden
Valdo Alhinho,28,Angola,62,62,Al Batin
Y. Brecher,24,Switzerland,62,70,FC Zürich
J. Poscoliero,27,Australia,62,62,Perth Glory
D. Yao,27,United States,62,62,SV Meppen
E. Domaschke,31,Germany,62,62,SV Meppen
M. Cebula,21,Poland,62,70,Korona Kielce
N. Pantaleone,24,Argentina,62,69,Bahía Blanca
L. Álvarez,22,Argentina,62,68,Independiente
H. Hollis,24,England,62,67,Notts County
H. Boateng,21,England,62,75,Exeter City
N. Albarracín,24,Uruguay,62,69,CD Lugo
A. Druzin,30,Russia,62,62,FC SKA-Energiya Khabarovsk
Lee Sang Ki,21,Korea Republic,62,77,Pohang Steelers
B. Purrington,21,England,62,74,Rotherham United
Gerardo Jiménez,29,Spain,62,62,Envigado FC
P. Hellquist,26,Sweden,62,65,Kalmar FF
C. Reppesgård,24,Norway,62,65,Sandefjord Fotball
L. Moneta,23,Poland,62,70,Legia Warszawa
J. Chianese,27,Australia,62,62,Perth Glory
N. Hunt,34,Republic of Ireland,62,62,Wigan Athletic
M. Diallo,20,France,62,76,AJ Auxerre
O. Cabezas,20,Colombia,62,73,Patriotas Boyacá FC
T. Vaiho,28,Sweden,62,64,Djurgårdens IF
B. Hamill,24,Australia,62,65,Western Sydney Wanderers
F. Woodman,20,England,62,78,Newcastle United
F. Ávila,23,Colombia,62,69,Tigres FC
D. Cortés,19,Mexico,62,76,Guadalajara
K. Hansen,22,Norway,62,68,Sarpsborg 08 FF
A. Kuen,22,Austria,62,69,SK Rapid Wien
J. Stead,34,England,62,62,Notts County
J. Ruddy,20,Scotland,62,75,Oldham Athletic
G. Gül,18,Germany,62,78,Fortuna Düsseldorf
M. Falk Olander,30,Sweden,62,62,IFK Norrköping
B. Olejnik,30,Austria,62,62,Mansfield Town
A. Monsecour,21,Belgium,62,71,Sporting Lokeren
G. Tetrashvili,28,Russia,62,62,FC Anzhi Makhachkala
S. Al Khaibari,27,Saudi Arabia,62,62,Al Fayha
F. Deli,22,Italy,62,69,Foggia
Akieme,19,Spain,62,71,Rayo Vallecano
A. Fallatah,23,Saudi Arabia,62,67,Al Qadisiyah
L. Hendrie,22,England,62,67,Bradford City
A. Keita,23,Mali,62,70,Le Havre AC
E. Binaku,21,Sweden,62,70,BK Häcken
B. Passi,19,France,62,75,Le Havre AC
E. Owusu,19,France,62,77,Olympique Lyonnais
L. Sowah,24,Germany,62,66,Cracovia
O. Kristinsson,28,Iceland,62,64,Excelsior
M. Thrane,23,Denmark,62,68,Odense Boldklub
M. Sharahili,25,Saudi Arabia,62,64,Al Nassr
B. Murphy,32,Republic of Ireland,62,62,St. Patrick's Athletic
M. Maloca,27,Croatia,62,62,Al Faisaly
R. Matsuda,25,Japan,62,64,Cerezo Osaka
D. Iversen,19,Denmark,62,76,Leicester City
D. Caddy,22,France,62,72,US Quevilly-Rouen
F. Lončarić,30,Croatia,62,62,Tromsø IL
I. Faraj,18,France,62,78,LOSC Lille
D. Gardner,27,England,62,62,Oldham Athletic
V. Pollet,20,France,62,73,LOSC Lille
D. Opazo,20,Argentina,62,72,Newell's Old Boys
A. Whitmore,21,England,62,67,Bury
S. Odelusi,24,England,62,66,Colchester United
L. Vocaj,23,Germany,62,69,Rot-Weiß Erfurt
D. Gómez,28,Colombia,62,62,Tigres FC
Thio Rolim,33,Brazil,62,62,Atlético Clube Goianiense
R. Jackson,26,England,62,63,Colchester United
Je Jong Hyeon,25,Korea Republic,62,66,Sangju Sangmu FC
V. Fedotov,25,Ukraine,62,63,FC SKA-Energiya Khabarovsk
Steven Prieto,19,Spain,62,72,Real Oviedo
R. Ragni,26,Italy,62,64,Ascoli
Jwa Joon Hyeop,26,Korea Republic,62,65,Jeju United FC
A. Shavaev,24,Russia,62,69,Amkar Perm
L. Kubáň,30,Czech Republic,62,62,Sandecja Nowy Sącz
Y. Chajima,25,Japan,62,65,Sanfrecce Hiroshima
B. Niasse,20,Senegal,62,73,KAS Eupen
M. Heider,31,Germany,62,62,VfL Osnabrück
M. Cavallotti,32,Argentina,62,62,Argentinos Juniors
D. Loft,30,England,62,62,Colchester United
B. Valette,24,France,62,68,Nîmes Olympique
A. Pinamonti,18,Italy,62,80,Inter
A. Arellano,22,Mexico,62,71,Querétaro
J. Sinnott,23,England,62,66,Chesterfield
Bae Cheon Seok,27,Korea Republic,62,62,Jeonnam Dragons
D. Barinov,20,Russia,62,76,Lokomotiv Moscow
F. Cobos,24,Argentina,62,68,Godoy Cruz
Arribas,18,Spain,62,70,AD Alcorcón
N. Sangaré,23,Germany,62,69,Antalyaspor
M. Nzola,20,France,62,71,Carpi
V. Belon,22,France,62,67,RC Lens
Miguelón,21,Spain,62,76,Villarreal CF
J. Berrett,28,Republic of Ireland,62,62,Grimsby Town
M. Kuttin,23,Austria,62,65,FC Admira Wacker Mödling
De la Calzada,22,Spain,62,72,Valencia CF
R. Leal,20,Costa Rica,62,71,KV Mechelen
M. Engelhardt,24,Germany,62,67,Eintracht Braunschweig
E. Şehit,21,Turkey,62,73,Gençlerbirliği SK
C. Mauersberger,22,Germany,62,69,FSV Zwickau
R. Contreras,21,Argentina,62,74,Arsenal de Sarandí
Y. Kobayashi,31,Japan,62,62,Sagan Tosu
N. Bajrami,18,Switzerland,62,82,Grasshopper Club Zürich
B. Knott,24,England,62,68,Lincoln City
F. Sierralta,20,Chile,62,76,Parma
G. Docherty,20,Scotland,62,74,Hamilton Academical FC
L. Escorcia,20,Colombia,62,71,Jaguares Fútbol Club
R. Diarra,22,France,62,75,AS Monaco
Toni Martínez,20,Spain,62,76,West Ham United
F. Wagner,19,Germany,62,72,FSV Zwickau
J. Gammelby,22,Denmark,62,72,Silkeborg IF
D. Keita-Ruel,27,Germany,62,62,SC Fortuna Köln
D. Ernst,26,Germany,62,63,SC Fortuna Köln
T. Väyrynen,24,Finland,62,68,Hansa Rostock
J. Aguirre,26,Uruguay,62,66,La Equidad
C. Djim,22,Belgium,62,69,Roda JC Kerkrade
N. Rieble,21,Germany,62,69,VfL Bochum
K. Mohammed,21,Ghana,62,70,FK Austria Wien
D. Massey,29,Republic of Ireland,62,62,Dundalk
Park Joon Kang,26,Korea Republic,62,63,Sangju Sangmu FC
G. Zajkov,22,FYR Macedonia,62,69,Sporting Charleroi
David de Paula,33,Spain,62,62,FK Austria Wien
I. Azzaoui,19,Belgium,62,79,Willem II
Kim Jung Hwan,20,Korea Republic,62,73,FC Seoul
J. Sartiaguin,23,Mexico,62,69,Deportivo Toluca
J. Gorenc Stanković,21,Slovenia,62,76,Huddersfield Town
J. Ramírez,29,Colombia,62,63,CD Once Caldas Manizales
Roger Figueras,20,Spain,62,72,Gimnàstic de Tarragona
Cristian,22,Spain,62,74,SD Eibar
H. Barry,24,Guinea,62,65,Orlando City Soccer Club
L. Doumbouya,26,Guinea,62,64,SKN St. Pölten
Aylton Boa Morte,23,Portugal,62,68,Estoril Praia
J. Inamoto,37,Japan,62,62,Hokkaido Consadole Sapporo
A. Guillen,24,Mexico,62,69,FC Dallas
Mateus,22,Brazil,62,70,Omiya Ardija
N. Andreev,19,Russia,62,72,Zenit St. Petersburg
E. Rito,21,Venezuela,62,72,Patriotas Boyacá FC
A. Kay,34,England,62,62,Port Vale
P. Drewes,24,Germany,62,70,Würzburger FV
D. Delaunay,22,France,62,70,US Quevilly-Rouen
D. Gómez,29,Colombia,62,62,CD Once Caldas Manizales
M. Buchalik,28,Poland,62,62,Wisła Kraków
J. Rose,35,Australia,62,62,Central Coast Mariners
C. Udoji,30,Nigeria,62,62,Lillestrøm SK
M. Kleihs,23,Germany,62,66,Würzburger FV
S. Gannon,25,Republic of Ireland,62,65,Dundalk
M. Duffy,22,Northern Ireland,62,72,Dundalk
A. Pelvas,28,Finland,62,62,HJK Helsinki
M. Biankadi,22,Congo,62,69,Rot-Weiß Erfurt
E. Agüero,22,Argentina,62,72,San Martín de San Juan
C. Robertson,23,Scotland,62,66,Blackpool
T. Kanai,27,Japan,62,63,Yokohama F. Marinos
M. Proietti,25,Italy,62,65,Pescara
H. Norbye,30,Norway,62,62,Tromsø IL
T. Rehfeldt,23,Germany,62,68,VfR Aalen
A. Plizzari,17,Italy,62,82,Ternana
D. Erdoğan,20,Turkey,62,76,LASK Linz
Bruno,23,Brazil,62,69,LASK Linz
L. Candellone,19,Italy,62,75,Ternana
L. Königshofer,28,Austria,62,63,SpVgg Unterhaching
D. Schütz,26,Austria,62,62,SKN St. Pölten
J. Marriott,22,England,62,71,Peterborough United
Yun Sang Ho,25,Korea Republic,62,66,Incheon United FC
P. Vignaud,34,France,62,62,US Quevilly-Rouen
J. Lorch,21,Germany,62,74,SV Wehen Wiesbaden
J. Vidović,28,Slovenia,62,64,SV Meppen
F. Ladapo,24,Nigeria,62,66,Crystal Palace
S. Al Masrahi,30,Saudi Arabia,62,62,Al Batin
S. Furtado,22,France,62,71,US Orléans Loiret Football
E. Konsa,19,England,62,81,Charlton Athletic
Ronaldo,23,Brazil,62,70,Ohod Club
J. Arrieta,26,Colombia,62,65,Jaguares Fútbol Club
T. Hawkridge,27,England,62,62,Notts County
T. Denton,21,England,62,73,Port Vale
J. Ibáñez,20,Argentina,62,72,Arsenal de Sarandí
A. Zamudio,19,Mexico,62,78,U.N.A.M.
B. Kraev,20,Bulgaria,62,73,FC Midtjylland
N. Hunt,33,England,62,62,Notts County
K. Roos,25,Netherlands,62,66,Port Vale
J. Gerlach,27,Germany,62,63,FC Carl Zeiss Jena
André Sousa,19,Portugal,62,72,FC Paços de Ferreira
I. Ndiaye,23,Senegal,62,67,Randers FC
J. Petriccione,22,Italy,62,74,Bari
A. Vilhjálmsson,23,Iceland,62,71,Jönköpings Södra IF
M. Bähre,21,Germany,62,71,Hannover 96
L. Kryger,34,Denmark,62,62,AC Horsens
M. Brahimi,24,Kosovo,62,67,Grasshopper Club Zürich
Asumah,20,Portugal,62,69,Willem II
Esteve,21,Spain,62,72,Córdoba CF
R. Spinaci,24,Argentina,62,68,Club Atlético Tigre
M. Barnofsky,22,Germany,62,67,Hallescher FC
E. Torres,19,Mexico,62,72,Guadalajara
L. Jeréz Silva,28,Argentina,62,63,Defensa y Justicia
M. Gómez,20,Colombia,62,79,Envigado FC
Y. van Osch,20,Netherlands,62,72,PSV
H. El Helwe,22,Lebanon,62,68,Hallescher FC
W. Norris,23,England,62,68,Wolverhampton Wanderers
M. Ambrose,23,United States,62,66,Atlanta United FC
S. van der Lei,24,Netherlands,62,68,Willem II
M. Austin,26,Australia,62,63,Melbourne Victory
J. Strauß,21,Germany,62,71,FC Erzgebirge Aue
E. Goldero,33,Chile,62,62,Club de Deportes Temuco
O. Fane,23,France,62,68,Oldham Athletic
A. Abedzadeh,24,Iran,62,67,CS Marítimo
J. Cook,18,England,62,70,Middlesbrough
A. Mhawi,21,Iraq,62,72,Al Batin
R. Grzelak,28,Poland,62,62,Heart of Midlothian
M. Bakaev,29,Russia,62,62,FC Anzhi Makhachkala
M. Piątkowski,32,Poland,62,62,Wisła Płock
O. Shevelyukhin,34,Ukraine,62,62,Górnik Zabrze
R. Jensen,21,Finland,62,72,FC Twente
D. Holman,27,England,62,62,Cheltenham Town
Erik Ruiz,22,Spain,62,69,Deportivo Alavés
M. Ballini,28,Argentina,62,62,Atlético Tucumán
P. Grazziani,22,Colombia,62,70,Alianza Petrolera
J. Ángulo,21,Colombia,62,72,Asociacion Deportivo Cali
J. McCart,20,Scotland,62,75,Celtic
S. Ibrahim,20,Nigeria,62,71,FK Haugesund
G. Poussin,18,France,62,83,Girondins de Bordeaux
C. Nava,22,Mexico,62,70,Club Atlas
O. Mandanda,18,France,62,80,Girondins de Bordeaux
B. Agounon,22,DR Congo,62,67,Clermont Foot 63
B. Lozano,20,Mexico,62,77,U.N.A.M.
E. Ba,24,France,62,69,FC Sochaux-Montbéliard
J. Leyton,26,Colombia,62,65,Tigres FC
T. King,22,England,62,70,Millwall
P. Sarr,24,Senegal,62,67,FC Zürich
Aitor Lorea,19,Spain,62,78,CA Osasuna
Javi Alonso,18,Spain,62,81,CD Tenerife
B. Clifford,24,England,62,66,Crawley Town
E. Ramírez,20,Argentina,62,74,Gimnasia y Esgrima La Plata
O. NDicka,17,France,62,80,AJ Auxerre
S. Jovanović,25,Serbia,62,65,Córdoba CF
T. Chencinski,32,Canada,62,62,Shamrock Rovers
T. Nørgaard,30,Denmark,62,63,Silkeborg IF
G. Gillespie,25,Scotland,62,65,Hamilton Academical FC
R. Gelmi,22,Switzerland,62,72,FC Thun
K. Yamamoto,27,Japan,62,62,Júbilo Iwata
L. D'Ath,24,England,62,65,Luton Town
R. Vincent,26,England,62,67,D.C. United
F. Baak,18,Germany,62,73,Hertha BSC Berlin
R. Pillot,26,France,62,64,La Berrichonne de Châteauroux
Z. Pliev,25,Russia,62,65,Terek Grozny
Víctor Ruiz,22,Spain,62,68,Real Sporting de Gijón
S. Nattestad,22,Faroe Islands,62,70,Molde FK
B. Renneke,24,Germany,62,67,VfL Osnabrück
D. Plessis,29,France,62,62,Örebro SK
C. Aasbak,23,Norway,62,68,Kristiansund BK
D. Byrtek,26,Poland,62,65,Wisła Płock
Álex Guanche,23,Spain,62,69,UD Las Palmas
F. Obilor,26,Nigeria,62,65,HJK Helsinki
C. Röcker,23,Germany,62,67,SC Fortuna Köln
T. Lindenhahn,26,Germany,62,63,Hallescher FC
K. Yeboah,23,Australia,62,70,Borussia Mönchengladbach
F. Flórez,24,Colombia,62,69,Alianza Petrolera
M. Mbaye,21,Senegal,62,70,Carpi
E. Amor,22,Argentina,62,73,Vélez Sarsfield
S. Salcedo,19,Paraguay,62,69,Club Atlético Huracán
T. Eaves,25,England,62,66,Gillingham
Kim Young Chan,23,Korea Republic,62,68,Jeonbuk Hyundai Motors
M. Rodríguez,23,United States,62,69,SG Sonnenhof Großaspach
D. Bachmann,22,Austria,62,72,Watford
D. Olsson,22,Sweden,62,68,GIF Sundsvall
R. Muirhead,21,Scotland,62,74,Milton Keynes Dons
L. Martínez,22,Mexico,62,71,Tigres U.A.N.L.
S. Nkansah,21,Germany,62,71,Eintracht Braunschweig
Emanuel Novo,24,Portugal,62,67,Grupo Desportivo de Chaves
A. Jallow,18,Gambia,62,76,FC Metz
E. Purita,20,Argentina,62,77,Arsenal de Sarandí
A. Hyodo,35,Japan,62,62,Ventforet Kofu
A. Laukart,18,Germany,62,74,FC Twente
J. Villalba,18,Paraguay,62,78,Borussia Mönchengladbach
M. Mlynikowski,24,Germany,62,67,Chemnitzer FC
J. McCourt,21,England,62,71,Chesterfield
J. Keller,22,Switzerland,62,72,FC St. Pauli
Erik Expósito,21,Spain,62,74,UD Las Palmas
M. Oxley,26,England,62,66,Southend United
S. Eismann,29,Germany,62,62,FC Carl Zeiss Jena
T. Aasheim,21,Norway,62,69,Viking FK
C. Byrne,31,Republic of Ireland,62,62,St. Patrick's Athletic
G. Rehak,24,Argentina,62,70,Independiente
E. Agyiri,19,Ghana,62,78,Vålerenga Fotball
K. Bare,19,Albania,62,75,Atlético Madrid
E. Kane,22,Senegal,62,70,Sandefjord Fotball
J. Mlakar,18,Slovenia,62,78,F.B.C. Unione Venezia
E. Abouchabaka,17,Germany,62,85,RB Leipzig
T. Haitz,25,Germany,62,65,Sportfreunde Lotte
M. Pawelec,31,Poland,62,62,Śląsk Wrocław
R. Duffy,31,Wales,62,62,Notts County
J. Ledesma,24,Argentina,62,67,Rosario Central
J. Justin,19,England,62,77,Luton Town
G. Hirst,18,England,62,81,Sheffield Wednesday
L. Watkowiak,21,Germany,62,72,SV Wehen Wiesbaden
T. Chancalay,18,Argentina,62,78,Colon de Santa Fe
T. Mahrer,27,Austria,62,64,SV Mattersburg
K. Jakob,19,Germany,62,74,FC Augsburg
M. Flynn,36,Wales,62,62,Newport County
O. Lund,26,Denmark,62,63,Lyngby BK
J. Aribo,20,England,62,76,Charlton Athletic
S. Bösel,22,Germany,62,68,SG Sonnenhof Großaspach
S. McConville,28,England,62,62,Accrington Stanley
C. Goode,21,England,62,72,Scunthorpe United
N. Smith,22,United States,62,67,LA Galaxy
F. Quiroz,19,Argentina,62,74,Colon de Santa Fe
K. Dawson,27,Republic of Ireland,62,63,Cheltenham Town
A. Tambakis,24,Greece,62,67,Atlanta United FC
H. McGahey,21,England,62,70,Rochdale
S. Mvibudulu,24,DR Congo,62,68,SV Wehen Wiesbaden
C. Cercado,28,Mexico,62,62,Lobos de la BUAP
O. Kurt,22,Turkey,62,67,SC Fortuna Köln
S. Glarner,29,Switzerland,62,62,FC Thun
Li Lei,25,China PR,62,66,
Moha,22,Spain,62,72,Cádiz C.F.
W. Al Anazi,22,Saudi Arabia,62,72,Al Shabab
M. Camargo,23,Panama,62,69,New York City Football Club
S. Diarra,22,Mali,62,68,RC Lens
R. Magyar,26,Sweden,62,63,SpVgg Greuther Fürth
M. Ballmert,23,Germany,62,69,SV Meppen
T. Gorschlüter,33,Germany,62,62,Sportfreunde Lotte
D. Choinière,20,Canada,62,73,Montreal Impact
E. Mašović,18,Serbia,62,77,Club Brugge KV
G. Leigh,22,England,62,71,Bury
S. Velázquez,26,Argentina,62,63,Arsenal de Sarandí
J. Báez,22,Uruguay,62,74,Pescara
F. Luckeneder,23,Austria,62,70,LASK Linz
K. Watson,27,Scotland,62,63,St. Johnstone FC
A. Bray,21,England,62,74,Rotherham United
S. Olivares,25,Argentina,62,68,Godoy Cruz
B. Bahn,24,Germany,62,65,FSV Zwickau
E. Ruiz,19,Colombia,62,78,La Equidad
D. Etienne Jr.,20,Haiti,62,72,New York Red Bulls
K. Eisele,22,Germany,62,74,Hansa Rostock
T. Brown,26,Wales,62,64,Exeter City
M. Haukås,30,Norway,62,62,Viking FK
S. Boyd,31,Scotland,62,62,Kilmarnock
Mayoral,20,Spain,62,77,Real Valladolid
F. Mussa,21,Tanzania,62,73,CD Tenerife
K. Ellison,38,England,62,62,Morecambe
M. Pearson,23,England,62,67,Barnsley
J. Sheehan,22,Wales,62,73,Swansea City
J. Thomas,21,England,62,75,Mansfield Town
A. Leautey,21,France,62,72,Chamois Niortais FC
M. Hazazi,29,Saudi Arabia,62,62,Al Fateh
Y. Al Musallam,31,Saudi Arabia,62,62,Al Raed
C. Porter,24,United States,62,65,Sporting Kansas City
I. La Rocca,33,Italy,62,62,Melbourne City
T. Shimohira,28,Japan,62,62,Yokohama F. Marinos
Romay,26,Spain,62,63,RC Deportivo de La Coruña
Ione Cabrera,31,Spain,62,62,FC Admira Wacker Mödling
C. Porter,33,England,62,62,Crewe Alexandra
R. Harley,32,England,62,62,Exeter City
Y. Fujigaya,36,Japan,62,62,Gamba Osaka
A. Nura,19,Nigeria,62,74,Roma
J. Ingham,23,New Zealand,62,68,Melbourne Victory
F. Altamirano,21,Argentina,62,75,Banfield
H. Kılıç,24,Netherlands,62,66,Osmanlıspor
G. Zabret,21,Slovenia,62,74,Swansea City
M. Multhaup,20,Germany,62,75,FC Ingolstadt 04
D. Louiserre,22,France,62,69,Le Havre AC
J. Partington,27,Wales,62,63,Bristol Rovers
G. Pinaud,29,France,62,62,US Orléans Loiret Football
J. Cook,27,England,62,62,Luton Town
H. Lennon,22,England,62,67,Charlton Athletic
C. Daniel,29,England,62,62,Blackpool
D. Winnard,27,England,62,64,Morecambe
J. Anderson,21,England,62,74,Peterborough United
N. Rinderknecht,19,Germany,62,78,SC Preußen Münster
A. Meyer,26,Germany,62,65,VfB Stuttgart
K. Knops,29,Netherlands,62,62,Port Vale
V. Vorel,21,Czech Republic,62,70,Sparta Praha
A. Dadakdeniz,17,Turkey,62,75,Bursaspor
E. Birkelund,23,Norway,62,71,Sogndal
R. Samnick,24,France,62,68,La Berrichonne de Châteauroux
C. Suljic,20,France,62,72,Crotone
A. Da Cruz,20,Netherlands,62,72,Novara
J. Goda,28,Cameroon,62,63,Tours FC
A. Bennett,35,Republic of Ireland,62,62,Cork City
T. Walker,20,England,62,76,Nottingham Forest
M. Gakpa,23,France,62,68,US Quevilly-Rouen
N. Venema,18,Netherlands,62,74,FC Utrecht
G. McCabe,28,Republic of Ireland,62,62,Bray Wanderers
V. Janelt,19,Germany,62,76,VfL Bochum
Lucas Sotero,26,Brazil,62,64,Corporación Club Deportivo Tuluá
E. Ćivić,21,Bosnia Herzegovina,62,70,Sparta Praha
Diego Pampín,17,Spain,62,74,RC Celta de Vigo
Miguel Lázaro,22,Portugal,62,68,Vitória Setúbal
M. Dembélé,23,Mali,62,67,Brescia
K. Sigurðsson,25,Iceland,62,67,GIF Sundsvall
N. Bishop,35,England,62,62,Scunthorpe United
E. Gliozzi,21,Italy,62,72,Cesena
M. Peijnenburg,20,Netherlands,62,70,FC Utrecht
Back Jong Hwan,32,Korea Republic,62,62,Gangwon FC
L. Longridge,25,Scotland,62,63,Hamilton Academical FC
J. Mosquera,20,Colombia,62,74,Envigado FC
E. Klenofsky,22,United States,62,72,D.C. United
M. Rossmann,22,Germany,62,70,Sportfreunde Lotte
Fran,29,Spain,62,62,Jönköpings Södra IF
Marcus Vinícius,33,Brazil,62,62,Arka Gdynia
Riera,22,Spain,62,74,Villarreal CF
N. Blissett,27,England,62,63,Plymouth Argyle
D. Widemann,20,Germany,62,72,1. FC Heidenheim
Rúben Vinagre,18,Portugal,62,77,Wolverhampton Wanderers
D. Philliskirk,26,England,62,63,Blackpool
A. Dykstra,31,United States,62,62,Sporting Kansas City
M. Havekotte,21,Netherlands,62,72,Excelsior
D. Gnaase,20,Germany,62,73,1. FC Heidenheim
C. Montano,25,Colombia,62,63,Port Vale
J. Lindner,29,Poland,62,62,Sportfreunde Lotte
Y. Minagawa,25,Japan,62,66,Sanfrecce Hiroshima
M. Nalepa,22,Poland,62,72,Arka Gdynia
T. Nydam,17,England,62,78,Ipswich Town
Bae Jae Woo,24,Korea Republic,62,66,Jeju United FC
R. Palermo,20,Argentina,62,72,Arsenal de Sarandí
N. Julan,20,France,62,74,Le Havre AC
D. Schmid,19,Switzerland,62,80,FC Basel
A. Kiwomya,21,England,62,77,Doncaster Rovers
M. Koj,23,Poland,62,67,Górnik Zabrze
K. Toner,20,Republic of Ireland,62,72,Stevenage
P. Yrizar,19,Mexico,62,67,Querétaro
G. Agbaljan,20,Armenia,62,72,Heracles Almelo
K. Sheppard,26,Republic of Ireland,62,63,Cork City
K. Müller,26,Germany,62,66,SpVgg Unterhaching
M. Torres,19,Argentina,62,78,Talleres de Cordoba
S. Habergham,25,England,62,66,Lincoln City
G. Somi,25,Sweden,62,63,Östersunds FK
T. Mikkelsen,27,Denmark,62,63,Ross County FC
M. Rodriguez,21,United States,62,75,Houston Dynamo
G. Montiel,20,Argentina,62,76,River Plate
Pedro Marques,19,Portugal,62,72,FC Paços de Ferreira
J. Delgadillo,23,Mexico,62,69,Deportivo Toluca
A. Dávila,18,Uruguay,62,80,Real Sociedad
Lee Jong Min,33,Korea Republic,62,62,GwangJu FC
C. Cermeño,21,Venezuela,62,73,FC Dallas
J. Mateta,20,France,62,77,Le Havre AC
S. Sy,21,Senegal,62,70,AS Monaco
S. Murray,25,Scotland,62,66,Hibernian
T. Glover,19,Australia,62,78,Central Coast Mariners
N. Iwadate,28,Japan,62,62,Urawa Red Diamonds
F. Uzelac,22,Croatia,62,69,Würzburger FV
J. Larsen,18,Denmark,62,79,Borussia Dortmund
K. Burger,22,Germany,62,68,SpVgg Greuther Fürth
